spat_id,upstream_laneset,start_time,end_time
0,-1018850_0,1163070,1163115
1,-1018850_0,1163164,1163207
2,-1018850_0,1163259,1163303
3,-1018850_0,1163355,1163397
4,-1018850_0,1163451,1163494
5,-1018850_0,1163545,1163588
6,-1018850_0,1163641,1163694
7,-1018850_0,1163735,1163778
8,6316532941_0,1163070,1163113
9,6316532941_0,1163164,1163209
10,6316532941_0,1163450,1163492
11,6316532941_0,1163544,1163591
12,6316532941_0,1163640,1163696
13,6316532941_0,1163735,1163812
14,6316532940_0,1163168,1163195
15,6316532940_0,1163250,1163290
16,6316532940_0,1163347,1163390
17,6316532940_0,1163450,1163489
18,6316532940_0,1163550,1163591
19,6316532940_0,1163646,1163693
20,6316532940_0,1163745,1163788
21,3545875211_0,1163165,1163196
22,3545875211_0,1163250,1163310
23,3545875211_0,1163350,1163411
24,3545875211_0,1163450,1163509
25,3545875211_0,1163547,1163607
26,3545875211_0,1163646,1163713
27,3545875211_0,1163745,1163808
