,movement_id,volume,upstream,junction,volume_sum,turning_ratio
0,-101987_69227168_-102004,3,-101987,69227168,10,0.3
1,-101987_69227168_69515842,7,-101987,69227168,10,0.7
2,69387071_69227168_-101987,1,69387071,69227168,541,0.0018484288354898336
3,69387071_69227168_69515842,268,69387071,69227168,541,0.4953789279112754
4,69387071_69249210_69421277,272,69387071,69249210,541,0.5027726432532348
5,69515842_69227168_-101987,3,69515842,69227168,275,0.01090909090909091
6,69515842_69227168_69387071,272,69515842,69227168,275,0.9890909090909091
7,2390850312_69421277_2939367168,6,2390850312,69421277,275,0.02181818181818182
8,2390850312_69421277_5674179652,33,2390850312,69421277,275,0.12
9,2390850312_69421277_69249210,236,2390850312,69421277,275,0.8581818181818182
10,2939367165_69421277_2390850312,5,2939367165,69421277,176,0.028409090909090908
11,2939367165_69421277_5674179652,32,2939367165,69421277,176,0.18181818181818182
12,2939367165_69421277_69249210,139,2939367165,69421277,176,0.7897727272727273
13,5674179652_69421277_2390850312,1,5674179652,69421277,10,0.1
14,5674179652_69421277_2939367168,2,5674179652,69421277,10,0.2
15,5674179652_69421277_69249210,7,5674179652,69421277,10,0.7
16,69249210_69421277_2390850312,280,69249210,69421277,551,0.5081669691470054
17,69249210_69421277_2939367168,5,69249210,69421277,551,0.009074410163339383
18,69249210_69421277_5674179652,16,69249210,69421277,551,0.029038112522686024
19,69249210_69387071_69227168,250,69249210,69387071,551,0.4537205081669691
20,4165941984_69515842_69227168,1,4165941984,69515842,16,0.0625
21,4165941984_69515842_69614530,15,4165941984,69515842,16,0.9375
22,69227168_69515842_4165941984,13,69227168,69515842,488,0.02663934426229508
23,69227168_69515842_69488055,196,69227168,69515842,488,0.4016393442622951
24,69227168_69515842_69614530,11,69227168,69515842,488,0.022540983606557378
25,69227168_69387071_4165941945,6,69227168,69387071,488,0.012295081967213115
26,69227168_69387071_69249210,262,69227168,69387071,488,0.5368852459016393
27,69488055_69515842_4165941984,4,69488055,69515842,233,0.017167381974248927
28,69488055_69515842_69227168,225,69488055,69515842,233,0.9656652360515021
29,69488055_69515842_69614530,4,69488055,69515842,233,0.017167381974248927
30,69614530_69515842_4165941984,100,69614530,69515842,158,0.6329113924050633
31,69614530_69515842_69227168,52,69614530,69515842,158,0.3291139240506329
32,69614530_69515842_69488055,6,69614530,69515842,158,0.0379746835443038
33,69387063_69387071_4165941945,5,69387063,69387071,15,0.3333333333333333
34,69387063_69387071_69227168,5,69387063,69387071,15,0.3333333333333333
35,69387063_69387071_69249210,5,69387063,69387071,15,0.3333333333333333
36,69421277_69249210_69387071,274,69421277,69249210,274,1.0
