city_id,region_id,link_id,link_name,upstream_junction_id,downstream_junction_id,length,from_direction,geometry,segment_list,arterial_id
,peachtree,-101987_69227168,,-101987,69227168,120.77972527628567,W,-84.3851678448943 33.78317941950459;-84.38470497875338 33.78317853854459;-84.38467307875328 33.78317843854459;-84.38399067874117 33.78316683854459;-84.38396707874077 33.78316643854459;-84.38386717871116 33.7831380385446,92462250,
,peachtree,-102004_69227168,,-102004,69227168,95.77315668022449,E,-84.38282665618651 33.78309973929453;-84.38310890190674 33.78309957835453;-84.3832072019069 33.78309947835452;-84.38338150187646 33.78312027835453;-84.38357770178119 33.78318537835452;-84.38370990169909 33.783241478354526;-84.38381650163294 33.78328667835452,1986595691,
,peachtree,69227168_-101987,,69227168,-101987,120.77972527628567,E,-84.38384595085232 33.783295515871146;-84.38394585085213 33.783323915871144;-84.38396945085212 33.78332431587115;-84.38465185085204 33.78333591587114;-84.38468375085203 33.78333601587114;-84.38514661699202 33.783336896831145,92462251,
,peachtree,69227168_-102004,,69227168,-102004,95.77315668022449,W,-84.38384605531607 33.783133683935745;-84.38373945531617 33.78308848393575;-84.38360725531629 33.78303238393575;-84.38341105531644 33.782967283935754;-84.38323675531649 33.782946483935746;-84.38313845531647 33.78294658393575;-84.38285620959648 33.782946744875744,1986595690,
,peachtree,69227168_69515842,,69227168,69515842,167.80985166710107,N,-84.3839111009785 33.783219729463426;-84.38395980061598 33.78310692946342;-84.38396080057903 33.78309542946342;-84.38400599890052 33.782573129463415;-84.38402599808751 33.782320129463415;-84.38406209660863 33.781859929463415;-84.38407269616292 33.78172122946342,6316532940,
,peachtree,69227168_69387071,,69227168,69387071,143.8637648023065,S,-84.38378815899061 33.783177641418675;-84.38375015873852 33.78326564141867;-84.38373835866031 33.783292941418665;-84.38360215803066 33.78351274141866;-84.38318375667363 33.78398644141866;-84.38306335611527 33.78418134141866;-84.38304598740038 33.78423488422706;-84.3830212871681 33.784309684227054,9436008871,
,peachtree,69249210_69421277,,69249210,69421277,126.0466000952974,S,-84.38294769937164 33.78545907497527;-84.38294919916534 33.785523274975276;-84.38298299778344 33.78595327497526;-84.38300036028609 33.786061369818725;-84.38305397603965 33.78638618705872;-84.383067458989 33.786467869818715;-84.38308775859555 33.78659116981873,-1017931 -1017891,
,peachtree,69249210_69387071,,69249210,69387071,125.50692714425452,N,-84.38307783617579 33.78545457830111;-84.38307623595198 33.78538507830112;-84.38307633557872 33.785269178301114;-84.38307783516137 33.78513957830111;-84.38308223396757 33.784756973340095;-84.3831031891411 33.78448136979138;-84.38311708901466 33.784440569791386;-84.38314678874346 33.78435306979138,-1018360,
,peachtree,69249210_69249214,,69249210,69249214,77.56993408046498,W,-84.38301474038225 33.78537292362216;-84.38288544038194 33.78536972362216;-84.38228354038036 33.78535392362216;-84.38217604038006 33.78535112362217,92478060,
,peachtree,69249214_69249210,,69249214,69249210,77.56993408046498,E,-84.382172061193 33.78551288023355;-84.38227956119273 33.78551568023355;-84.38288146119122 33.78553148023354;-84.3830107611909 33.785534680233546,92478061,
